v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,total_workers_weighted,income_mean,income_q1,income_median,income_q3,female_pct,male_pct,public_sector_pct,nivel_ed_mean,age_mean,age_median,x,y
100,Cultivos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",6064.0,6064.0,8.76,8.41,8.99,9.25,25.03,74.97,0.0,6.17,51.49,56.0,0.17466636343907796,0.3391908170905278
101,Cultivos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",469983.56,469983.56,8.08,7.6,8.01,8.52,25.7,74.3,5.82,3.52,46.75,45.0,-0.16919514176182227,0.20419466671941375
102,Cría de animales,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",164595.99,164595.99,8.41,8.01,8.4,8.82,23.19,76.81,0.31,3.48,52.78,51.0,-0.09970663881841904,0.15934459007059742
103,Cultivo de productos agrícolas,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",73432.43,73432.43,8.55,8.1,8.7,8.97,22.53,77.47,2.0,4.35,56.88,51.0,-0.009229879351289145,0.11585365923395939
104,Servicios agrícolas y pecuarios,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",24208.24,24208.24,8.95,8.29,8.75,8.96,15.23,84.77,13.53,5.33,36.61,37.0,0.12356017019228435,0.22931733826653963
105,Caza y servicios de apoyo,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",0.0,,,,,,,,,,,,,
200,"Silvicultura, extracción de madera y actividades conexas","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",14001.88,14001.88,8.38,7.87,8.32,8.56,16.8,83.2,9.68,4.52,42.63,42.5,0.27114804569808837,0.24536600915125256
300,Pesca y acuicultura,"A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","A. Agricultura, Ganadería, Caza, Silvicultura y Pesca","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.498, 0.7882, 0.498, 1.0)",15814.37,15814.37,8.3,7.67,8.28,8.8,27.38,72.62,0.0,4.7,49.94,42.0,0.23903201866802773,-0.026709225816452502
500,Extracción de carbón y lignito,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",1093.8,1093.8,8.75,8.75,8.75,8.75,0.0,100.0,0.0,4.0,27.0,27.0,0.8030036667137506,0.17737107241034056
600,Extracción de petróleo crudo y gas natural,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",75630.0,75630.0,9.73,9.1,9.82,10.47,7.59,92.41,12.83,5.27,43.34,44.0,0.12668469883418998,0.08475451133093385
700,Extracción de minerales metalíferos,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",5549.71,5549.71,8.01,8.01,8.01,8.01,37.87,62.13,9.02,9.0,39.0,39.0,0.32302682131400445,0.40697268729088854
800,Explotación de otras minas y canteras,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",26734.32,26734.32,8.68,8.08,8.64,9.23,9.51,90.49,0.0,3.58,45.27,51.0,0.17720785921606597,0.1507334471699792
900,Actividades de Apoyo a la Explotación de Minas y Canteras,B. Explotación de Minas y Canteras,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.498, 0.7882, 0.498, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",12379.0,12379.0,9.64,9.9,10.05,10.15,4.21,95.79,8.26,4.79,35.97,36.0,0.2611565879660877,0.19733790416737151
1000,Industria manufacturera (general),C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",120747.06,120747.06,8.97,8.33,8.89,9.42,43.89,56.11,0.0,4.24,52.42,47.0,0.0160163820704615,0.019113175165371664
1001,Producción y procesamiento de carne,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",189635.13,189635.13,8.5,8.29,8.57,9.12,20.54,79.46,0.09,3.59,42.88,40.5,-0.16870059625508527,0.08904330837883882
1002,"Preparación de frutas, hortalizas y legumbres",C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",62535.13,62535.13,8.8,8.02,8.46,9.11,39.43,60.57,0.0,4.2,54.35,54.0,0.021358777293575628,0.06601635440422385
1003,Elaboración de productos lácteos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",18238.23,18238.23,9.45,9.21,9.35,9.53,0.4,99.6,0.0,4.37,41.08,37.0,0.26406110934068755,0.09961546195186984
1009,Elaboración de productos alimenticios,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",492768.36,492768.36,8.34,7.82,8.41,8.99,48.56,51.44,0.58,4.29,41.78,39.0,-0.44260345491628467,0.08528378651575787
1100,Elaboración de bebidas,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",91369.12,91369.12,8.63,8.07,8.59,9.21,22.06,77.94,0.0,4.64,43.63,47.0,0.027781763144507404,-0.017927269016464006
1200,Elaboración de Productos de Tabaco,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",2810.0,2810.0,7.88,7.5,7.5,8.24,0.0,100.0,0.0,4.03,46.06,44.0,0.30215198278539707,0.14198359904912702
1300,Fabricación de productos textiles,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",191928.66,191928.66,8.55,8.09,8.53,9.03,64.5,35.5,2.32,4.13,46.69,50.0,-0.03787021009900083,-0.10700419710891611
1400,Confección de prendas de vestir,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",477163.29,477163.29,8.29,7.9,8.36,8.73,81.74,18.26,2.57,3.88,59.82,60.0,-0.04153231465703422,-0.3256396064871029
1501,Curtido y terminación de cueros,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",42900.62,42900.62,8.58,8.28,8.52,8.87,23.61,76.39,2.75,3.84,53.1,52.0,0.14777310772838126,-0.19929453084827656
1502,Fabricación de calzado y sus partes,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",104878.98,104878.98,8.48,7.81,8.24,8.83,53.08,46.92,3.1,4.04,41.91,37.0,0.0032567085854381585,-0.23541318135679892
1600,Producción de madera y materiales de construcción,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",78979.85,78979.85,8.31,7.94,8.52,9.04,12.55,87.45,7.39,3.58,38.64,40.0,0.05946429302808388,-0.06333162781066233
1700,Fabricación de papel y productos de papel,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",46075.68,46075.68,9.12,8.46,8.7,9.21,39.77,60.23,0.0,4.53,46.16,43.0,0.14874368017481887,-0.0375745913362263
1800,Actividades de impresión,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",62550.12,62550.12,8.76,8.52,8.91,9.15,32.89,67.11,5.47,5.5,40.33,37.0,0.09719164987834819,-0.2409688795240454
1900,Fabricación de coque y de productos de la refinación del petróleo,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",2820.0,2820.0,,,,,0.0,100.0,0.0,2.0,55.0,55.0,-1.0,0.24810278812810405
1902,Fabricación de productos de la refinación del petróleo,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",29835.78,29835.78,9.17,8.72,9.21,9.63,10.16,89.84,35.16,6.54,47.0,38.0,0.1785478712557752,0.12313856955418126
2000,Fabricación de Sustancias y Productos Químicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",16601.0,16601.0,9.17,8.52,8.99,9.53,11.6,88.4,29.37,6.31,41.33,53.0,0.2060425605744087,0.033785576604105805
2001,Fabricación de pinturas y barnices,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",16881.82,16881.82,8.92,8.29,8.92,9.43,25.48,74.52,0.0,4.27,49.91,42.0,0.08624077400944889,0.11749392605782752
2002,Fabricación de jabones y detergentes,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",24337.19,24337.19,8.9,8.44,8.83,9.09,33.94,66.06,8.1,3.68,60.65,43.0,0.07812770245284027,0.08799268067241979
2009,Fabricación de otros productos químicos n.c.p.,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",29577.0,29577.0,9.06,8.73,9.05,9.45,10.07,89.93,10.56,4.8,43.83,51.0,0.2135765362111888,0.07844582512047354
2100,Fabricación de productos farmacéuticos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",93009.48,93009.48,8.82,8.52,8.99,9.43,22.83,77.17,2.33,5.78,45.67,44.0,-0.0013567416655434353,-0.061497856417854636
2201,Fabricación de productos de caucho,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",9530.29,9530.29,9.03,8.85,9.0,9.11,13.4,86.6,0.0,3.6,40.51,33.0,0.19587250836704417,0.25744144252208717
2202,Fabricación de productos de plástico,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",123524.73,123524.73,8.82,8.38,8.7,9.21,18.83,81.17,1.74,4.77,43.34,44.0,0.020852037126739973,-0.12474816921347602
2301,Fabricación de vidrio,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",40567.31,40567.31,8.4,8.08,8.85,9.21,70.55,29.45,0.0,5.85,37.61,32.0,-0.10229005961353595,-0.18536076082516667
2309,Fabricación de productos minerales no metálicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",131918.96,131918.96,8.47,7.88,8.52,8.97,12.29,87.71,2.23,4.07,44.33,38.0,-0.014104237804984002,0.0010875344093124518
2400,Fabricación de metales,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",61271.06,61271.06,8.59,8.03,8.7,9.05,7.8,92.2,4.58,4.22,49.13,53.0,0.1399343279962806,0.058511824740906125
2500,Fabricación de productos elaborados de metal,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",381543.85,381543.85,8.66,8.21,8.59,9.11,16.78,83.22,1.88,4.41,45.54,45.5,0.05553750465142867,0.05252461237663194
2601,Fabricación de componentes electrónicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",12992.73,12992.73,9.17,9.07,9.23,9.26,72.93,27.07,1.9,6.75,46.8,54.0,0.23620277219855076,0.14567788997019815
2602,Fabricación de equipos informáticos y periféricos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",1098.0,1098.0,,,,,100.0,0.0,0.0,7.0,34.0,34.0,0.4798649813670341,0.20475634981700827
2603,Fabricación de equipos y aparatos de radio,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",6876.26,6876.26,10.31,10.31,10.31,10.31,37.93,62.07,0.0,6.86,47.31,45.0,0.3321550289475552,0.1277671210825013
2604,"Fabricación de equipos electromédicos, ópticos y de precisión ",C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",3201.0,3201.0,8.68,8.68,8.68,8.68,0.0,100.0,0.0,4.0,72.0,72.0,,
2700,Fabricación de Maquinaria y Equipos Eléctricos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",2713.0,2713.0,8.98,8.87,9.05,9.08,0.0,100.0,0.0,5.92,30.41,31.0,0.5373565993283952,0.12688823368192462
