v183ciuo_first_1digits,v182caes_first_1digits,v183ciuo_first_2digits
2,71,21
2,72,21
2,86,22
2,78,24
2,70,24
2,74,26
3,71,31
3,72,31
3,86,32
3,84,33
3,74,34
7,10,75
7,12,75
7,13,75
7,14,75
7,15,75
7,16,75
7,17,79
7,18,73
7,19,79
7,20,79
7,22,79
7,23,73
7,24,79
7,25,72
7,26,75
7,27,79
7,28,72
7,29,79
7,30,79
7,31,75
7,38,79
8,10,81
8,12,81
8,13,81
8,14,81
8,15,81
8,16,81
8,17,81
8,18,81
8,19,81
8,20,81
8,22,81
8,23,81
8,24,81
8,25,81
8,26,82
8,27,82
8,28,82
8,29,89
8,30,89
8,31,81
8,38,89